Weight,Ticker,Sector,ESG,Return
0.022843428608340512,Stock_66,Consumer Goods,66.0,0.0225
0.021543206900072904,Stock_56,Utilities,70.0,0.0032
0.0207301581482977,Stock_20,Consumer Goods,67.0,0.0336
0.0206258145902424,Stock_74,Consumer Goods,52.0,0.0382
0.019889827857603796,Stock_72,Utilities,71.0,0.0157
0.017531388125115486,Stock_6,Energy,43.0,0.0676
0.017450934954699186,Stock_86,Consumer Goods,57.0,0.0555
0.016910055412006783,Stock_47,Consumer Goods,62.0,0.0649
0.01653199026434458,Stock_96,Energy,63.0,0.0687
0.01634700415044268,Stock_14,Finance,64.0,0.0409
0.015774439514327276,Stock_68,Utilities,82.0,0.0432
0.015598706826346577,Stock_22,Energy,45.0,0.0919
0.015445776422074675,Stock_52,Consumer Goods,57.0,0.0829
0.014868239903665273,Stock_67,Finance,65.0,0.0463
0.014849337800398073,Stock_38,Healthcare,85.0,-0.0272
0.014758887047927573,Stock_77,Utilities,72.0,0.0528
0.014758840561107272,Stock_3,Consumer Goods,63.0,0.0883
0.014720797251505371,Stock_8,Healthcare,68.0,0.0265
0.01407080018924497,Stock_43,Finance,55.0,0.0615
0.01404303127270647,Stock_59,Consumer Goods,53.0,0.0983
0.013675078494655468,Stock_55,Energy,49.0,0.118
0.013575170520857965,Stock_81,Industrials,57.0,-0.0082
0.013388299477843866,Stock_24,Utilities,78.0,0.0616
0.013159364934733464,Stock_97,Energy,31.0,0.115
0.013092610387866264,Stock_25,Consumer Goods,47.0,0.1172
0.013008423241692864,Stock_35,Consumer Goods,59.0,0.1181
0.012855593828286863,Stock_26,Energy,44.0,0.1227
0.012783841869010663,Stock_16,Finance,79.0,0.0739
0.012738840437303863,Stock_27,Finance,66.0,0.0694
0.012727851273686763,Stock_89,Utilities,82.0,0.0805
0.012691507382117162,Stock_13,Finance,61.0,0.0773
0.01242540666644586,Stock_92,Industrials,52.0,-0.015
0.01241609188977266,Stock_5,Finance,65.0,0.0818
0.01224607673619476,Stock_34,Utilities,78.0,0.0771
0.012202715203534258,Stock_63,Energy,83.0,0.1411
0.012143088284538158,Stock_57,Utilities,90.0,0.0824
0.011855652419059858,Stock_91,Energy,37.0,0.1438
0.011650132040521058,Stock_90,Finance,87.0,0.0941
0.011500989719537355,Stock_84,Energy,78.0,0.1575
0.011358425654104555,Stock_85,Finance,52.0,0.0953
0.011233275620689256,Stock_58,Finance,63.0,0.0985
0.011218369798551555,Stock_83,Consumer Goods,69.0,0.1482
0.011152397373702654,Stock_61,Energy,36.0,0.1554
0.010984519152889354,Stock_32,Healthcare,61.0,0.0636
0.010534101067042652,Stock_95,Healthcare,57.0,0.0792
0.01045042978346365,Stock_99,Healthcare,77.0,0.077
0.01039284058064395,Stock_33,Utilities,81.0,0.1125
0.01029649740057605,Stock_28,Utilities,77.0,0.1212
0.01026482680506745,Stock_29,Healthcare,71.0,0.0796
0.01017639447201145,Stock_76,Finance,63.0,0.125
0.01012497467902295,Stock_78,Finance,53.0,0.1276
0.00996031746801405,Stock_46,Finance,70.0,0.1158
0.009948949125331149,Stock_82,Energy,38.0,0.1811
0.009908254328239248,Stock_49,Finance,63.0,0.1278
0.009694099132285746,Stock_42,Utilities,66.0,0.1391
0.009677466180675847,Stock_53,Industrials,51.0,0.0487
0.009054595906829244,Stock_48,Healthcare,57.0,0.1065
0.008857495573961044,Stock_93,Healthcare,84.0,0.1166
0.008726261214624843,Stock_37,Industrials,68.0,0.0575
0.008475315906624141,Stock_18,Finance,48.0,0.1594
0.00818844542347484,Stock_70,Finance,48.0,0.1588
0.00804093375921854,Stock_19,Industrials,16.0,0.0746
0.007977711605835939,Stock_12,Healthcare,58.0,0.1341
0.007911930806021438,Stock_62,Finance,46.0,0.1942
0.0077443691605309384,Stock_7,Healthcare,52.0,0.1445
0.007731023961352638,Stock_50,Healthcare,72.0,0.1303
0.007635559226182038,Stock_40,Healthcare,51.0,0.1355
0.007446300879497837,Stock_30,Healthcare,87.0,0.1499
0.0072127384996620355,Stock_4,Finance,68.0,0.2048
0.007141041129368635,Stock_75,Healthcare,79.0,0.1613
0.0070247380923679345,Stock_1,Healthcare,73.0,0.1598
0.006494202975878132,Stock_23,Real Estate,48.0,0.0056
0.006460430925997131,Stock_44,Healthcare,79.0,0.1849
0.0063716550086935315,Stock_51,Real Estate,51.0,0.0075
0.00617750499191303,Stock_10,Technology,66.0,0.0774
0.00616510110371543,Stock_80,Real Estate,62.0,0.0143
0.006111727603928029,Stock_60,Healthcare,84.0,0.1986
0.005829603616432528,Stock_69,Technology,77.0,0.0873
0.005793435793030229,Stock_94,Technology,79.0,-0.0963
0.005452677743116827,Stock_31,Real Estate,53.0,0.0356
0.005338037578762026,Stock_45,Technology,85.0,0.1076
0.005161479222811325,Stock_9,Real Estate,58.0,0.0196
0.0051115226802594255,Stock_79,Industrials,52.0,0.1906
0.004719115959519923,Stock_15,Technology,77.0,0.1019
0.004691656530898523,Stock_100,Real Estate,44.0,0.0517
0.0046103480533613225,Stock_17,Real Estate,44.0,0.0496
0.004596449476148723,Stock_98,Real Estate,59.0,0.0552
0.004484188104742822,Stock_39,Real Estate,52.0,0.0526
0.004439091127971122,Stock_65,Real Estate,50.0,0.053
0.004391116065513922,Stock_87,Real Estate,58.0,0.0477
0.004326064909185421,Stock_73,Real Estate,63.0,0.0578
0.0038337997529077185,Stock_2,Technology,95.0,0.2018
0.0038296279715848186,Stock_36,Technology,95.0,0.1789
0.0037036398943969184,Stock_21,Technology,82.0,0.2091
0.0035903192558164173,Stock_71,Technology,93.0,0.1682
0.002343203277422311,Stock_11,Technology,78.0,0.2673
