Weight,Ticker,Sector,ESG,Return
0.04169629607811948,Stock_63,Energy,83.0,0.1411
0.03159354224373927,Stock_57,Utilities,90.0,0.0824
0.030785492352040755,Stock_89,Utilities,82.0,0.0805
0.02735104407604946,Stock_35,Consumer Goods,59.0,0.1181
0.02541098852460927,Stock_28,Utilities,77.0,0.1212
0.02450050238480987,Stock_84,Energy,78.0,0.1575
0.024284495059679292,Stock_24,Utilities,78.0,0.0616
0.023894255233941383,Stock_68,Utilities,82.0,0.0432
0.023063067762742983,Stock_99,Healthcare,77.0,0.077
0.023032192270545156,Stock_83,Consumer Goods,69.0,0.1482
0.021651764223112616,Stock_59,Consumer Goods,53.0,0.0983
0.021431045272895907,Stock_90,Finance,87.0,0.0941
0.021324807083135507,Stock_34,Utilities,78.0,0.0771
0.021048524491984903,Stock_3,Consumer Goods,63.0,0.0883
0.020295551202948355,Stock_47,Consumer Goods,62.0,0.0649
0.020293829503822185,Stock_33,Utilities,81.0,0.1125
0.020162918098848542,Stock_58,Finance,63.0,0.0985
0.019344523350537948,Stock_67,Finance,65.0,0.0463
0.018617167737558116,Stock_46,Finance,70.0,0.1158
0.017897531391280943,Stock_16,Finance,79.0,0.0739
0.01781685898489928,Stock_77,Utilities,72.0,0.0528
0.01747075027349869,Stock_20,Consumer Goods,67.0,0.0336
0.017418061743868913,Stock_42,Utilities,66.0,0.1391
0.0165092427115153,Stock_30,Healthcare,87.0,0.1499
0.015888321450392113,Stock_27,Finance,66.0,0.0694
0.015430164292340728,Stock_93,Healthcare,84.0,0.1166
0.01536455856839201,Stock_82,Energy,38.0,0.1811
0.014619309568322436,Stock_66,Consumer Goods,66.0,0.0225
0.014522868155274291,Stock_4,Finance,68.0,0.2048
0.014432082134999163,Stock_76,Finance,63.0,0.125
0.01406093133343156,Stock_1,Healthcare,73.0,0.1598
0.013602912939055203,Stock_75,Healthcare,79.0,0.1613
0.01320427918064861,Stock_52,Consumer Goods,57.0,0.0829
0.012142632677429977,Stock_96,Energy,63.0,0.0687
0.012109639766985907,Stock_72,Utilities,71.0,0.0157
0.012018306370319734,Stock_44,Healthcare,79.0,0.1849
0.011771394265984824,Stock_55,Energy,49.0,0.118
0.011760618095053771,Stock_25,Consumer Goods,47.0,0.1172
0.01175867852780475,Stock_5,Finance,65.0,0.0818
0.011589149954909846,Stock_29,Healthcare,71.0,0.0796
0.01148527608340845,Stock_85,Finance,52.0,0.0953
0.011276279534599754,Stock_60,Healthcare,84.0,0.1986
0.011272770560842665,Stock_38,Healthcare,85.0,-0.0272
0.010685629401860647,Stock_49,Finance,63.0,0.1278
0.010668528895829168,Stock_91,Energy,37.0,0.1438
0.010455334856567997,Stock_13,Finance,61.0,0.0773
0.010442944320898623,Stock_50,Healthcare,72.0,0.1303
0.010376408306706874,Stock_78,Finance,53.0,0.1276
0.010371112484726674,Stock_62,Finance,46.0,0.1942
0.010224101036381404,Stock_18,Finance,48.0,0.1594
0.010208335642848171,Stock_86,Consumer Goods,57.0,0.0555
0.010197844204982511,Stock_70,Finance,48.0,0.1588
0.010171711197322613,Stock_37,Industrials,68.0,0.0575
0.010162182768228762,Stock_14,Finance,64.0,0.0409
0.010139832839555048,Stock_48,Healthcare,57.0,0.1065
0.010131518804056945,Stock_45,Technology,85.0,0.1076
0.010126617842808149,Stock_7,Healthcare,52.0,0.1445
0.010112638857642013,Stock_36,Technology,95.0,0.1789
0.010103727058925113,Stock_43,Finance,55.0,0.0615
0.010080023755865397,Stock_71,Technology,93.0,0.1682
0.010069264620822513,Stock_95,Healthcare,57.0,0.0792
0.010049933228688817,Stock_40,Healthcare,51.0,0.1355
0.010017684358902722,Stock_2,Technology,95.0,0.2018
