Weight,Ticker,Sector,ESG,Return
0.010416666666666666,Stock_1,Healthcare,73.0,0.1598
0.010416666666666666,Stock_2,Technology,95.0,0.2018
0.010416666666666666,Stock_74,Consumer Goods,52.0,0.0382
0.010416666666666666,Stock_73,Real Estate,63.0,0.0578
0.010416666666666666,Stock_72,Utilities,71.0,0.0157
0.010416666666666666,Stock_71,Technology,93.0,0.1682
0.010416666666666666,Stock_70,Finance,48.0,0.1588
0.010416666666666666,Stock_69,Technology,77.0,0.0873
0.010416666666666666,Stock_68,Utilities,82.0,0.0432
0.010416666666666666,Stock_67,Finance,65.0,0.0463
0.010416666666666666,Stock_66,Consumer Goods,66.0,0.0225
0.010416666666666666,Stock_65,Real Estate,50.0,0.053
0.010416666666666666,Stock_63,Energy,83.0,0.1411
0.010416666666666666,Stock_62,Finance,46.0,0.1942
0.010416666666666666,Stock_61,Energy,36.0,0.1554
0.010416666666666666,Stock_60,Healthcare,84.0,0.1986
0.010416666666666666,Stock_59,Consumer Goods,53.0,0.0983
0.010416666666666666,Stock_58,Finance,63.0,0.0985
0.010416666666666666,Stock_57,Utilities,90.0,0.0824
0.010416666666666666,Stock_56,Utilities,70.0,0.0032
0.010416666666666666,Stock_55,Energy,49.0,0.118
0.010416666666666666,Stock_53,Industrials,51.0,0.0487
0.010416666666666666,Stock_52,Consumer Goods,57.0,0.0829
0.010416666666666666,Stock_75,Healthcare,79.0,0.1613
0.010416666666666666,Stock_76,Finance,63.0,0.125
0.010416666666666666,Stock_77,Utilities,72.0,0.0528
0.010416666666666666,Stock_90,Finance,87.0,0.0941
0.010416666666666666,Stock_99,Healthcare,77.0,0.077
0.010416666666666666,Stock_98,Real Estate,59.0,0.0552
0.010416666666666666,Stock_97,Energy,31.0,0.115
0.010416666666666666,Stock_96,Energy,63.0,0.0687
0.010416666666666666,Stock_95,Healthcare,57.0,0.0792
0.010416666666666666,Stock_94,Technology,79.0,-0.0963
0.010416666666666666,Stock_93,Healthcare,84.0,0.1166
0.010416666666666666,Stock_92,Industrials,52.0,-0.015
0.010416666666666666,Stock_91,Energy,37.0,0.1438
0.010416666666666666,Stock_89,Utilities,82.0,0.0805
0.010416666666666666,Stock_78,Finance,53.0,0.1276
0.010416666666666666,Stock_87,Real Estate,58.0,0.0477
0.010416666666666666,Stock_86,Consumer Goods,57.0,0.0555
0.010416666666666666,Stock_85,Finance,52.0,0.0953
0.010416666666666666,Stock_84,Energy,78.0,0.1575
0.010416666666666666,Stock_83,Consumer Goods,69.0,0.1482
0.010416666666666666,Stock_82,Energy,38.0,0.1811
0.010416666666666666,Stock_81,Industrials,57.0,-0.0082
0.010416666666666666,Stock_80,Real Estate,62.0,0.0143
0.010416666666666666,Stock_79,Industrials,52.0,0.1906
0.010416666666666666,Stock_51,Real Estate,51.0,0.0075
0.010416666666666666,Stock_50,Healthcare,72.0,0.1303
0.010416666666666666,Stock_49,Finance,63.0,0.1278
0.010416666666666666,Stock_13,Finance,61.0,0.0773
0.010416666666666666,Stock_22,Energy,45.0,0.0919
0.010416666666666666,Stock_21,Technology,82.0,0.2091
0.010416666666666666,Stock_20,Consumer Goods,67.0,0.0336
0.010416666666666666,Stock_19,Industrials,16.0,0.0746
0.010416666666666666,Stock_18,Finance,48.0,0.1594
0.010416666666666666,Stock_17,Real Estate,44.0,0.0496
0.010416666666666666,Stock_16,Finance,79.0,0.0739
0.010416666666666666,Stock_15,Technology,77.0,0.1019
0.010416666666666666,Stock_14,Finance,64.0,0.0409
0.010416666666666666,Stock_12,Healthcare,58.0,0.1341
0.010416666666666666,Stock_24,Utilities,78.0,0.0616
0.010416666666666666,Stock_11,Technology,78.0,0.2673
0.010416666666666666,Stock_10,Technology,66.0,0.0774
0.010416666666666666,Stock_9,Real Estate,58.0,0.0196
0.010416666666666666,Stock_8,Healthcare,68.0,0.0265
0.010416666666666666,Stock_7,Healthcare,52.0,0.1445
0.010416666666666666,Stock_6,Energy,43.0,0.0676
0.010416666666666666,Stock_5,Finance,65.0,0.0818
0.010416666666666666,Stock_4,Finance,68.0,0.2048
0.010416666666666666,Stock_3,Consumer Goods,63.0,0.0883
0.010416666666666666,Stock_23,Real Estate,48.0,0.0056
0.010416666666666666,Stock_25,Consumer Goods,47.0,0.1172
0.010416666666666666,Stock_48,Healthcare,57.0,0.1065
0.010416666666666666,Stock_37,Industrials,68.0,0.0575
0.010416666666666666,Stock_47,Consumer Goods,62.0,0.0649
0.010416666666666666,Stock_46,Finance,70.0,0.1158
0.010416666666666666,Stock_45,Technology,85.0,0.1076
0.010416666666666666,Stock_44,Healthcare,79.0,0.1849
0.010416666666666666,Stock_43,Finance,55.0,0.0615
0.010416666666666666,Stock_42,Utilities,66.0,0.1391
0.010416666666666666,Stock_40,Healthcare,51.0,0.1355
0.010416666666666666,Stock_39,Real Estate,52.0,0.0526
0.010416666666666666,Stock_38,Healthcare,85.0,-0.0272
0.010416666666666666,Stock_36,Technology,95.0,0.1789
0.010416666666666666,Stock_26,Energy,44.0,0.1227
0.010416666666666666,Stock_35,Consumer Goods,59.0,0.1181
0.010416666666666666,Stock_34,Utilities,78.0,0.0771
0.010416666666666666,Stock_33,Utilities,81.0,0.1125
0.010416666666666666,Stock_32,Healthcare,61.0,0.0636
0.010416666666666666,Stock_31,Real Estate,53.0,0.0356
0.010416666666666666,Stock_30,Healthcare,87.0,0.1499
0.010416666666666666,Stock_29,Healthcare,71.0,0.0796
0.010416666666666666,Stock_28,Utilities,77.0,0.1212
0.010416666666666666,Stock_27,Finance,66.0,0.0694
0.010416666666666666,Stock_100,Real Estate,44.0,0.0517
